pos=80010b28 len=1200 sym=ApplyClrAnmResult__Q24nw4r3g3dFQ34nw4r3g3d10ResMatChanQ34nw4r3g3d14ResMatTevColorPCQ34nw4r3g3d12ClrAnmResult
pos=80033044 len=12 sym=SetScale__Q36nw4hbm2ut10CharWriterFff
pos=80033058 len=36 sym=__as__Q34nw4r2ut4RectFRCQ34nw4r2ut4Rect
pos=80034718 len=328 sym=GetCharStrmReader__Q34nw4r2ut4FontCFv
pos=80034a94 len=4 sym=__ct__Q44nw4r2ut27@unnamed@snd_AxManager_cpp@11NonCopyableFv
pos=80041d8c len=56 sym=ForEach__Q34nw4r3g3d7ScnLeafFPFPQ34nw4r3g3d6ScnObjPv_Q44nw4r3g3d6ScnObj13ForEachResultPvb
pos=80044518 len=8 sym=ptr__Q34nw4r3g3d34ResCommon<Q34nw4r3g3d10ResMatData>Fv
pos=8004f90c len=8 sym=IsBusy__Q34nw4r2ut13DvdFileStreamCFv
pos=8005278c len=4 sym=MouseWheelEvent__Q34nw4r3mcs17InputEventHandlerFRCQ34nw4r3mcs13MouseEventArg
pos=800541d8 len=8 sym=IOS_Failed__6usbmicFl
pos=80061c7c len=176 sym=GetModelLocalAxisY2__Q34nw4r3g3d26@unnamed@g3d_calcview_cpp@FPQ34nw4r4math4VEC3PCQ34nw4r4math5MTX34PCQ34nw4r4math5MTX34
pos=80061d2c len=200 sym=GetModelLocalAxisY3__Q34nw4r3g3d26@unnamed@g3d_calcview_cpp@FPQ34nw4r4math4VEC3PCQ34nw4r4math5MTX34PCQ34nw4r4math5MTX34
pos=8006c478 len=16 sym=__DVDLowBreak
pos=80078a74 len=96 sym=__dt__Q34nw4r3snd14Sound3DManagerFv
pos=800831d0 len=12 sym=NWC24GetMailDelServerURL
pos=800885b0 len=12 sym=NWC24GetAccMgtServerURL
pos=800885b4 len=8 sym=GetEmitterDrawSetting__Q34nw4r2ef15EmitterResourceFv
pos=8008913c len=28 sym=__as__Q34nw4r4math4VEC3FRCQ34nw4r4math4VEC3
pos=800891d8 len=32 sym=VEC3Dot__Q24nw4r4mathFPCQ34nw4r4math4VEC3PCQ34nw4r4math4VEC3
pos=800892b4 len=28 sym=Draw_GetSizeX__Q34nw4r2ef8ParticleFv
pos=800892d0 len=116 sym=Draw_GetSizeY__Q34nw4r2ef8ParticleFv
pos=80089344 len=352 sym=GetMoveDir__Q34nw4r2ef8ParticleFPQ34nw4r4math4VEC3
pos=800894a4 len=124 sym=FSqrt__Q24nw4r4mathFf
pos=80089b04 len=68 sym=__ct__Q34nw4r4math5MTX34Fffffffffffff
pos=80089b18 len=12 sym=__ct__Q34nw4r3lyt4SizeFff
pos=80089d64 len=28 sym=__ct__Q34nw4r4math4VEC3FRCQ34nw4r4math4VEC3
pos=8008f814 len=24 sym=FInv__Q24nw4r4mathFf
pos=8008f82c len=8 sym=texEnable__Q24nw4r2efFi
pos=8008f834 len=36 sym=__pl__Q34nw4r4math4VEC3CFRCQ34nw4r4math4VEC3
pos=8008f858 len=28 sym=__ml__Q34nw4r4math4VEC3CFf
pos=800908b0 len=84 sym=__as__Q44nw4r2ef24DrawSmoothStripeStrategy10VertexTubeFRCQ44nw4r2ef24DrawSmoothStripeStrategy10VertexTube
pos=80091858 len=36 sym=__mi__Q34nw4r4math4VEC3CFRCQ34nw4r4math4VEC3
pos=8009187c len=36 sym=__apl__Q34nw4r4math4VEC3FRCQ34nw4r4math4VEC3
pos=800935e4 len=12 sym=GetZUnitVec__Q34nw4r2ef16DrawStrategyImplFv
pos=800a18f8 len=96 sym=GetFontDescent__Q34nw4r2ut10CharWriterCFv
pos=800b1fd4 len=44 sym=PMEnd
pos=800d1990 len=8 sym=GetMainOutVolume__Q44nw4r3snd6detail11BasicPlayerCFv
pos=800eb5c0 len=12 sym=GetDrawOrder__Q34nw4r2ef18DrawStripeStrategyCFRCQ34nw4r2ef18EmitterDrawSetting
pos=800ef31c len=12 sym=DWCi_NodeInfoList_GetCount
pos=800ef320 len=8 sym=GetFont__Q34nw4r2dw8GraphicsCFv
pos=80116900 len=12 sym=DWC_GetConnectNumLanMatch
pos=80129b1c len=8 sym=GetValueForSortXlu__Q34nw4r3g3d6ScnObjCFv
pos=80146764 len=8 sym=IsOpened__Q44nw4r3snd6detail8SeqTrackCFv
pos=8014b6d0 len=12 sym=NWC24GetAccountDomain
pos=8014bdbc len=8 sym=GetVoiceOutCount__Q44nw4r3snd6detail9WsdPlayerCFv
pos=80165a94 len=8 sym=SetSelectorFunc__Q34nw4r3g3d6ScnLODFPFPQ34nw4r3g3d6ScnLOD_i
pos=80189e28 len=16 sym=VFiPFVOL_errnum
pos=80195e24 len=28 sym=SetVelocity__Q34nw4r3snd15Sound3DListenerFRCQ34nw4r4math4VEC3
pos=8019cae8 len=16 sym=MI_CpuCopy8
pos=801b5c94 len=8 sym=GetLocationAdjustScale__Q36nw4hbm3lyt8DrawInfoCFv
pos=80212d7c len=44 sym=GetNumNode__Q34nw4r3g3d9ResAnmVisCFv
pos=80232a0c len=12 sym=GetVersion__Q44nw4r3snd6detail22SoundArchiveFileReaderCFv
pos=8023ac9c len=12 sym=Draw__Q34nw4r2dw6WindowFv
pos=8023ebbc len=44 sym=gsiHasThreadShutdown
pos=8026b308 len=12 sym=__as__Q34nw4r3g3d35ResCommon<Q34nw4r3g3d11ResNodeData>FRCQ34nw4r3g3d35ResCommon<Q34nw4r3g3d11ResNodeData>
pos=802728f0 len=8 sym=PPCMfhid0
pos=80272910 len=8 sym=PPCMfl2cr
pos=80272920 len=8 sym=PPCMtl2cr
pos=80272930 len=8 sym=PPCMtdec
pos=80272950 len=20 sym=PPCHalt
pos=80272970 len=8 sym=PPCMtmmcr0
pos=80272980 len=8 sym=PPCMtmmcr1
pos=80272990 len=8 sym=PPCMtpmc1
pos=802729a0 len=8 sym=PPCMtpmc2
pos=802729b0 len=8 sym=PPCMtpmc3
pos=802729c0 len=8 sym=PPCMtpmc4
pos=802729d0 len=32 sym=PPCMffpscr
pos=802729f0 len=40 sym=PPCMtfpscr
pos=80272a20 len=8 sym=PPCMfhid2
pos=80272a30 len=8 sym=PPCMthid2
pos=80272a40 len=12 sym=PPCMfwpar
pos=80272a50 len=8 sym=PPCMtwpar
pos=80272a60 len=40 sym=PPCDisableSpeculation
pos=80272a90 len=8 sym=PPCSetFpNonIEEEMode
pos=80272af0 len=296 sym=__OSFPRInit
pos=80272c20 len=108 sym=__OSGetIOSRev
pos=80272c90 len=596 sym=OSGetConsoleType
pos=80272ef0 len=476 sym=ClearArena
pos=802730d0 len=484 sym=ClearMEM2Arena
pos=802732c0 len=60 sym=InquiryCallback
pos=80273300 len=676 sym=ReportOSInfo
pos=80273d70 len=20 sym=__OSSetExceptionHandler
pos=80273d90 len=16 sym=__OSGetExceptionHandler
pos=80273da0 len=156 sym=OSExceptionVector
pos=80273e40 len=88 sym=OSDefaultExceptionHandler
pos=80273ea0 len=84 sym=__OSPSInit
pos=80273f00 len=16 sym=__OSGetDIConfig
pos=80273f20 len=132 sym=OSGetAppGamename
pos=80274040 len=592 sym=InsertAlarm
pos=80274290 len=112 sym=OSSetAlarm
pos=80274300 len=132 sym=OSSetPeriodicAlarm
pos=80274390 len=280 sym=OSCancelAlarm
pos=802744b0 len=556 sym=DecrementerExceptionCallback
pos=80274730 len=140 sym=OnReset
pos=802747e0 len=16 sym=__OSSetInternalAlarmUserData
pos=802748a0 len=176 sym=DLInsert
pos=80274a50 len=120 sym=OSFreeToHeap
pos=80274ae0 len=112 sym=OSInitAlloc
pos=80274b50 len=112 sym=OSCreateHeap
pos=802751c0 len=20 sym=DCEnable
pos=802751e0 len=44 sym=DCInvalidateRange
pos=80275210 len=48 sym=DCFlushRange
pos=80275240 len=48 sym=DCStoreRange
pos=80275270 len=44 sym=DCFlushRangeNoSync
pos=802752a0 len=44 sym=DCStoreRangeNoSync
pos=802752d0 len=44 sym=DCZeroRange
pos=80275300 len=52 sym=ICInvalidateRange
pos=80275340 len=16 sym=ICFlashInvalidate
pos=80275350 len=20 sym=ICEnable
pos=80275370 len=204 sym=__LCEnable
pos=80275480 len=40 sym=LCDisable
pos=802754b0 len=36 sym=LCLoadBlocks
