pos=80007630 len=68 sym=__ct__Q34nw4r4math5MTX34Fffffffffffff
pos=800311b4 len=12 sym=SetScale__Q36nw4hbm2ut10CharWriterFf
pos=80031360 len=16 sym=SetCursor__Q36nw4hbm2ut10CharWriterFfff
pos=80031378 len=8 sym=SetCursorZ__Q36nw4hbm2ut10CharWriterFf
pos=800345a0 len=12 sym=btm_sec_free_dev
pos=80051b90 len=20 sym=End__Q34nw4r3g3d8ScnGroupFv
pos=800527b0 len=12 sym=gsXxteaEncrypt
pos=80061480 len=8 sym=SetMaxVolumeDistance__Q34nw4r3snd15Sound3DListenerFf
pos=8007be50 len=4 sym=__ct__Q44nw4r2ut32@unnamed@snd_Sound3DManager_cpp@11NonCopyableFv
pos=8007c4d0 len=8 sym=__ct<9>__Q44nw4r3g3d6G3dObj7TypeObjFRCQ44nw4r3g3d6G3dObj15ResNameDataT<9>_Pv
pos=800858c0 len=12 sym=start__Q310homebutton10HomeButton10BlackFaderFv
pos=80093310 len=8 sym=getReassignedFlag__Q210homebutton10HomeButtonCFv
pos=800976a0 len=12 sym=DetachSoundPlayer__Q44nw4r3snd6detail10BasicSoundFPQ34nw4r3snd11SoundPlayer
pos=800de16c len=12 sym=NWC24GetAccMgtServerURL
pos=800de170 len=8 sym=GetEmitterDrawSetting__Q34nw4r2ef15EmitterResourceFv
pos=8011ec70 len=24 sym=ClearTriggerFlag__Q44nw4r2dw6detail13PadButtonImplFv
pos=80138104 len=8 sym=isRumbling__Q210homebutton10ControllerFv
pos=801529ec len=8 sym=SetInteriorSize__Q34nw4r3snd15Sound3DListenerFf
pos=801cda24 len=8 sym=SetPanRange__Q44nw4r3snd6detail9SeqPlayerFf
pos=801f6580 len=8 sym=SetLpfFreq__Q44nw4r3snd6detail8SeqTrackFf
pos=80216990 len=8 sym=GetGlobalMtx__Q36nw4hbm3lyt4PaneCFv
pos=8021f934 len=16 sym=GetFxSend__Q44nw4r3snd6detail11BasicPlayerCFQ34nw4r3snd6AuxBus
pos=8021f93c len=8 sym=GetCursorZ__Q36nw4hbm2ut10CharWriterCFv
pos=80227710 len=12 sym=contentInitHandleNANDEx
pos=8023bf30 len=24 sym=GetCurrentPlayingSample__Q44nw4r3snd6detail5VoiceCFv
pos=8024748c len=16 sym=Min<f>__Q34nw4r2ut31@unnamed@ut_TextWriterBase_cpp@Fff_f
pos=802474a0 len=16 sym=Max<f>__Q34nw4r2ut31@unnamed@ut_TextWriterBase_cpp@Fff_f
pos=802b1540 len=20 sym=Close__Q44nw4r3snd18MemorySoundArchive16MemoryFileStreamFv
pos=802cbca0 len=8 sym=setSimpleSyncFlag__Q210homebutton10HomeButtonFb
pos=803545c4 len=8 sym=Set__Q36nw4hbm2ut14CharStrmReaderFPCc
pos=8035abe8 len=12 sym=Draw_ModifyScaleY__Q34nw4r2ef15ParticleManagerFPQ34nw4r2ef8Particlef
pos=8037563c len=12 sym=DWCi_Acc_SetFriendKey
pos=8037ec50 len=16 sym=MTXInitStack
pos=803c8d08 len=8 sym=SetChannelPriority__Q44nw4r3snd6detail9WsdPlayerFi
pos=803cdcec len=4 sym=__ct__Q44nw4r2ut27@unnamed@snd_AxManager_cpp@11NonCopyableFv
pos=803e6ed0 len=8 sym=FNTGetEncoding
pos=804180e4 len=28 sym=AXInitProfile
pos=8041b6f4 len=8 sym=GetVoiceOutCount__Q44nw4r3snd6detail9WsdPlayerCFv
pos=80425d7c len=16 sym=DWCs_NHTTPCleanupCallback
pos=804293f8 len=8 sym=IsOpened__Q44nw4r3snd6detail8SeqTrackCFv
pos=804677a0 len=280 sym=GetFont__Q34nw4r2ut10CharWriterCFv
pos=804678c0 len=280 sym=GetCursorX__Q34nw4r2ut10CharWriterCFv
pos=804679e0 len=280 sym=GetCursorY__Q34nw4r2ut10CharWriterCFv
pos=80467c50 len=620 sym=Set__Q34nw4r2ut14CharStrmReaderFPCw
pos=80467ec0 len=292 sym=Next__Q34nw4r2ut14CharStrmReaderFv
pos=80467ff0 len=280 sym=GetCurrentPos__Q34nw4r2ut14CharStrmReaderCFv
pos=80468110 len=292 sym=SetCursorX__Q34nw4r2ut10CharWriterFf
pos=80468370 len=308 sym=MoveCursorX__Q34nw4r2ut10CharWriterFf
pos=804684b0 len=308 sym=MoveCursorY__Q34nw4r2ut10CharWriterFf
pos=804685f0 len=292 sym=SetCursorY__Q34nw4r2ut10CharWriterFf
pos=804819c0 len=12 sym=GetColorMappingMax__Q36nw4hbm2ut10CharWriterCFv
pos=804a39a0 len=8 sym=gt2SetUnrecognizedMessageCallback
pos=804ba840 len=8 sym=__CARDGetDirBlock
pos=804c8960 len=24 sym=RoundUp<Ul>__Q34nw4r2ut33@unnamed@snd_McsSoundArchive_cpp@FUlUi_Ul
pos=804c9320 len=8 sym=SetTitleTagProcessor__Q34nw4r2dw6WindowFPQ34nw4r2ut19TagProcessorBase<c>
pos=804c9920 len=48 sym=WPADGetAcceptConnection
pos=804d1650 len=8 sym=ptr__Q34nw4r3g3d40ResCommon<Q34nw4r3g3d16ResTexCoordGenDL>CFv
